LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity
,,,(quality),(micron),(micron),(micron),(frame),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,(micron),(micron),(micron),(micron),(radians),,(micron^2),(micron),,
ID421894,421894,31,102.0,92.49799884252636,66.43683876981952,0.0,47.0,47,1.7540596937662447,1,,33087.2336448598,32788.0,32345.0,36142.0,3540334.0,723.1500089615694,36770.71028037384,35962.0,32456.0,45355.0,3934466.0,3143.795509845306,-0.830697229994353,-448.9942264151879,-0.8155780682042388,-103.45004812560467,0.07288269937768269,0.0034206875306861694,2.6694528091184413,1.280595295238815,1.933862959512007,2.0845405406714552,9.665817942955265,24.496235456249032,0.20241830288841792,0.6325301204819265
ID389766,389766,31,130.0,93.1486987285634,68.52910387567167,0.0,26.0,26,1.9404447577919832,1,,33160.80769230769,32795.0,32428.0,37042.0,4310905.0,802.4514001188937,37414.55384615385,36587.0,32605.0,52578.0,4863892.0,3840.4076961010155,-0.8287168765227595,-399.87841838640156,-0.8102811222468896,-83.21821748180537,-0.004522480449070411,-0.050411149216376676,3.2221398851574157,1.2560402334686251,1.9345241334255,2.5653158229329143,11.829120053997652,22.56615608340719,0.29190876000410537,0.7119113573407193
ID394883,394883,31,111.0,93.00783533089434,68.89622519296768,0.0,28.0,28,1.7953373340604555,1,,33278.4727272727,32805.0,32409.0,36017.0,3660632.0,819.2910641971066,38135.1909090909,37723.0,32367.0,51086.0,4194871.0,4006.570533546561,-0.8258450936517643,-385.2281749060238,-0.8043298548602722,-78.25151413305807,0.02720806854149828,0.055181166437950284,3.0159180321099948,1.2071743026137771,1.8700311843471735,2.498328555851397,10.126094987857908,24.092719091333084,0.21922002703873356,0.6470588235294105
ID373773,373773,31,141.0,93.6987414849433,70.12081785058514,0.0,13.0,13,2.0254136727412297,1,,33203.30714285714,32794.0,32341.0,38057.0,4648463.0,848.1738309041531,38371.228571428575,36994.0,32735.0,58227.0,5371972.0,4627.614972733628,-0.8272388863967058,-374.89652609115467,-0.8035837317922395,-67.84723655708245,-0.28840624703034956,0.05193769518893982,2.9204749101427048,1.7052064363572845,-0.9723329413811037,1.7126811439801475,12.887757257273712,29.99182312456581,0.18004517162355488,0.6100217864923748
ID425480,425480,31,120.0,92.4195444328189,66.04039820626532,0.0,48.0,48,1.8790712290918719,1,,33204.83050847459,32795.0,32574.0,36705.0,3918170.0,793.721293902722,36474.89830508476,35733.0,31968.0,47969.0,4304038.0,3144.1039634782264,-0.8309280695644595,-411.20193575474934,-0.8186185548219687,-104.71669180821198,-0.012563972942132845,0.14873141187284145,2.951038741969977,1.4025540038916748,-1.3332755426737273,2.1040464280032802,11.092676782153438,23.193349910665884,0.25913093528096437,0.6788732394366195
ID425609,425609,31,88.0,92.42075387112638,66.08121969622638,0.0,52.0,52,1.6148966100689652,1,,33184.6629213483,32791.0,32440.0,36396.0,2953435.0,780.4359204931012,37100.13483146068,36580.0,32470.0,47088.0,3301912.0,2928.583640722047,-0.8339421253214014,-427.0774028629978,-0.8173551475503928,-113.38385450218772,-0.0879673776445425,0.05405093671757614,2.5819088615341736,1.0954865372222913,-1.2731596588801828,2.3568604211977315,8.192931399266849,20.857367277941975,0.23666291260103492,0.6641791044776121
ID386839,386839,31,112.0,93.51467182932633,68.61292601603579,0.0,22.0,22,1.8356870312902673,1,,33259.439655172406,32807.0,32283.0,37271.0,3858095.0,859.5386860686235,38331.80172413793,37155.0,32631.0,52438.0,4446489.0,4646.2078285879315,-0.8285203932206475,-373.91270255550205,-0.8068552941797039,-68.92923220954611,-0.060280234516083775,0.11526657726575414,2.8242224997193803,1.3172194307317604,1.8882353003563668,2.1440789847371353,10.586372032760549,22.98853732839632,0.25172962963562695,0.6927710843373485
ID360336,360336,31,115.0,93.693068551214,69.86207258130818,0.0,3.0,3,1.8673391400246644,1,,33315.36974789916,32801.0,32320.0,38132.0,3964529.0,919.9038349293543,38618.008403361346,37044.0,32777.0,55615.0,4595543.0,4350.981197532887,-0.832458735085115,-359.89277549679946,-0.8104540390158681,-75.90082881667618,-0.003853684393997561,0.04621739963613274,3.131803293007303,1.217048039407848,1.7770027223440716,2.5732782861480756,10.954593668682666,18.44814487879015,0.4044834308680776,0.7777777777777778
ID366994,366994,31,140.0,93.78084962672612,69.69717550406583,0.0,8.0,8,2.046999508058733,1,,33182.66438356164,32802.0,32595.0,36089.0,4844669.0,706.2333430677512,37801.0616438356,36933.0,32359.0,49491.0,5518955.0,3848.291108822563,-0.8261708977319022,-446.6223349463288,-0.8058266331030154,-81.53011056889198,-0.04210830985590975,0.14534081514555838,3.130300391042891,1.3884060684316373,1.8690417391601208,2.2546000498102994,13.163923484215278,27.959171468345183,0.21161508257576284,0.6975609756097548
ID420113,420113,31,92.0,92.55014151993402,66.50202362464475,0.0,46.0,46,1.6463440025873735,1,,33118.22105263157,32793.0,32320.0,36127.0,3146231.0,711.104567511031,37752.46315789474,37103.0,32408.0,46959.0,3586484.0,3294.115109960606,-0.828468360584051,-449.8784777132949,-0.8096334433010883,-97.48421560035735,-0.062210080287562704,0.08268674225630192,2.8443990936881813,1.0489814245954736,1.7352983538551967,2.711581947015971,8.515125330698691,20.73086623032874,0.24898088712645336,0.6826568265682651
